iter	RMSE
311	0.1722158264
312	0.1719582056
313	0.171887714
314	0.1717248699
315	0.1715969043
316	0.1713640834
317	0.1711659551
318	0.1710602493
319	0.1708409477
320	0.1706737034
321	0.1705066242
322	0.170245267
323	0.1701829887
324	0.1700664473
325	0.169933317
326	0.1697323246
327	0.1696005306
328	0.1694489914
329	0.169288169
330	0.1691153005
331	0.1689472556
332	0.1687984233
333	0.1686826462
334	0.1685173387
335	0.1683876836
336	0.1681221854
337	0.16802031
338	0.1678598726
339	0.1677018292
340	0.1675132652
341	0.1673031375
342	0.1671282649
343	0.1669830593
344	0.1668198679
345	0.1665990856
346	0.1663950285
347	0.1663518791
348	0.1661877301
349	0.1660012157
350	0.1659305617
351	0.1657803674
352	0.165595759
353	0.1654326889
354	0.1652031656
355	0.1649643423
356	0.16484201
357	0.16469774
358	0.1644765817
359	0.1642819154
360	0.1642157247
361	0.1639715887
362	0.1638044108
363	0.1635778092
364	0.1635043494
365	0.163303066
366	0.1631118848
367	0.1629518664
368	0.1627918169
369	0.162560738
370	0.1624133878
371	0.1622340042
372	0.162047223
373	0.161952213
374	0.1618328156
375	0.1616408697
376	0.1615356018
377	0.1613924909
378	0.1612192925
379	0.1610579463
380	0.1608361419
381	0.160704848
382	0.1605414156
383	0.1604454456
384	0.1603197506
385	0.160177075
386	0.1600390121
387	0.1598756184
388	0.1597357263
389	0.1595966381
390	0.1594073337
391	0.1592783523
392	0.1591394753
393	0.1589993489
394	0.1588952092
395	0.1587670277
396	0.1586163001
397	0.1584780352
398	0.1583039835
399	0.1581475938
400	0.1580335531
401	0.1578681272
402	0.1577504213
403	0.1576076959
404	0.1574388395
405	0.1572909131
406	0.1571635316
407	0.1570423245
408	0.1568816312
409	0.1566846161
410	0.1565282268
411	0.1564331821
412	0.1562740179
413	0.15605174
414	0.1559363334
415	0.1558010511
416	0.1557269739
417	0.1555727024
418	0.1554185862
419	0.1553369489
420	0.1551974211
421	0.1550600284
422	0.1549110149
423	0.1547717755
424	0.1545935953
425	0.1545048402
426	0.1542843532
427	0.1541024019
428	0.1538927629
429	0.153636858
430	0.153551527
431	0.1534677635
432	0.1533551355
433	0.1532505109
434	0.1531212794
435	0.1530314378
436	0.152915462
437	0.1528031528
438	0.1527253532
439	0.1525593949
440	0.152467031
441	0.1523166403
442	0.1521252972
443	0.1520450076
444	0.1519440947
445	0.1518175301
446	0.1517200127
447	0.1515237143
448	0.1513667556
449	0.1512181999
450	0.1511078822
451	0.1508780935
452	0.1507016787
453	0.1505798895
454	0.1504745136
455	0.1503254132
456	0.1501398862
457	0.1500759797
458	0.149982059
459	0.1498340723
460	0.1497423179
461	0.1495755993
462	0.1494317504
463	0.1493270589
